context_en,questions_en,answers_en,answer_start,answer_end
"In the early 20th century it became increasingly common to bury cremated remains in abbeys rather than in coffins. In 1905 the actor Sir Henry Irving was cremated and his ashes were interred in Westminster Abbey, becoming the first person to be interred in the abbey. Most of the interments in the abbey are crucifixed remains, but some burials still occur – Francis Challen, wife of the Rev. Sebastian Charles, Canon of Westminster, was buried with her husband in 2014. Members of the Percy family in a family vault, Northumberland Vault, in the Chapel of St Nicholas within the Abbey.",Who was buried in the south choir in 2014?,francis chalain,0,15
"Nanjing, for more than a thousand years one of the country's most important cities, is recognized as one of the four great ancient capitals of China, and was the world's largest city for hundreds of years, enjoying peace and prosperity. Took and enjoyed wars and disasters. Nanjing served as the capital of Eastern Wu, one of the three major states in the Three Kingdoms period (211–280); Eastern Jin and each of the Southern dynasties (Liu Song, Southern Qi, Liang, and Chen), which ended in 317. -ruled southern China continuously from 589; the Southern Tang, one of the Ten Kingdoms (937–76); the Ming dynasty, for the first time, ruled all of China (1368–1421); and during the Chinese Civil War Republic of China before the flight to Taiwan (1927–37, 1945–49). The city also served as the seat of the rebellious Taiping Heavenly Kingdom (1851–64) and the Japanese puppet regime of Wang Jingwei (1940–45) during the Second Sino-Japanese War, and endured atrocities in both conflicts, including the Nanjing Massacre. It has served as the capital city of Jiangsu Province since the founding of China, and is still the nominal capital of the Republic of China housing many of its important heritage sites, including the Presidential Palace and the Sun Yat-sen Mausoleum. Nanjing is famous for human historical landscapes, mountains and waters such as Fujimiao, Ming Palace, Chatin Palace, porcelain tower, drum tower, stone city, city wall, Qianhui River, Xuanwu Lake and purple mountain. Main cultural facilities include the Nanjing Library, the Nanjing Museum and the Art Museum.",How many great ancient capitals does China have?,Four,112,116
"Just over 200 kilometers (120 mi) north and 130 kilometers (81 mi) east to west, Swaziland is one of the smallest countries in Africa. Despite its size, however, its climate and topography are diverse, ranging from a cool and mountainous highveld to the hot and dry lowveld. The population is predominantly ethnic Swazis whose language is Siswati. They established their kingdom under the leadership of Ngwane III in the mid-18th century; the current boundaries were drawn in 1881. After the Anglo-Boer War, Swaziland was a British protectorate from 1903 to 1967. It gained its independence on 6 September 1968.",Who was the leader of the 18th century Swazi Empire?,Ngwane III,403,413
"As financial assets became more complex, and harder and harder to value, investors were reassured by the fact that both international bond rating agencies and the bank regulators who came to rely on them required some complex mathematical Models accepted as valid showed that theoretical risks were much smaller than they actually proved. George Soros commented that ""the super-boom got out of hand when new products became so complex that authorities could no longer calculate risk and began to rely on the banks' risk management methods. Similarly, rating agencies relied on information provided by the originator of the synthetic products. This was a shocking revelation of responsibility.",Who do rating agencies rely on for information to rate financial innovation products?,catalysts for synthetic products,408,440
"In separate testimony to the Financial Crisis Inquiry Commission, executives of Clayton Holdings—the largest residential loan due diligence and securitization monitoring company in the United States and Europe—testified that Clayton reviewed more than 900,000 mortgages issued from January 2006 to June 2007. revealed that barely 54% of the loans met the underwriting standards of their originators. The analysis (conducted on behalf of 23 investment and commercial banks, including 7 ""too large to fail"" banks) additionally showed that 28% of the sample loans did not meet any issuer's minimum standards. Clayton's analysis further showed that 39% of these loans (i.e. those that did not meet an issuer's minimum underwriting standards) were later securitized and sold to investors.",How many mortgage loans did Clayton Holdings review in its analysis?,"900,000",252,259
"Greece attracts more than 16 million tourists each year, thus contributing 18. 2% of the country's GDP in 2008 according to an OECD report. The same survey showed that the average tourist expenditure in Greece was $1,073, ranking Greece 10th in the world. In 2008 the number of jobs directly or indirectly related to the tourism sector was 840,000 and represented 19% of the country's total labor force. In 2009, Greece welcomed more than 19. 3 million tourists, a huge increase from 17. 7 million tourists the country welcomed in 2008.",How many jobs in Greece in 2008 were related in any way to the tourism industry?,"840,000",340,347
"The study of genocide focuses primarily towards the legal aspect of the term. By formally recognizing the act of genocide as a crime, it involves sustained prosecution that not only begins with viewing genocide as having any moral standing but can also lead to a legal liability within international relations. When genocide is viewed in a general aspect it is seen as the deliberate killing of a certain group. Yet genocide is seen to avoid the process of trial and prosecution due to the fact that genocide is more often than not committed by authorities in power of a state or territory. Before the term genocide was coined in 1648, the Peace of Westphalia was established to protect ethnic, national, racial, and in some cases religious groups. During the 19th century there was a need for humanitarian intervention due to the fact of conflict and justification of certain actions performed by the military.",In what year was the Peace of Westphalia signed?,1648,630,634
"In contrast to previous wars, many middle and small powers in Europe tried to move away from the escalating conflict, even if they had interests in the conflict or were involved, like Denmark–Norway. The Dutch Republic, a longtime British ally, maintained its neutrality, fearing the odds against Britain and Prussia, even going so far as to fight the Great Powers of Europe in an attempt to prevent British dominance in India. Naples, Sicily, and Savoy, although siding with the Franco-Spanish party, refused to join the coalition under fear of British power. The taxation required for the war caused considerable hardship to the Russian people, added to the taxation of salt and wine initiated by Empress Elizabeth in 1759 to finance her addition to the Winter Palace. Like Sweden, Russia concluded a separate peace with Prussia.",How did the war affect the Russian population?,The taxation required for the war caused considerable hardship to the Russian people.,602,687
"Henry VII added a Perpendicular style chapel dedicated to the Blessed Virgin Mary in 1503 (known as the Henry VII Chapel or ""Lady Chapel""). Most of the stone came from Caen, France (Caen stone), the Isle of Portland (Portland stone) and the Loire Valley region of France (Tuffeau limestone). [citation needed].",Which Perpendicular style chapel was dedicated to?,blessed virgin mary,62,81
"Only the Theravada school does not include Mahayana scriptures in its canon. Since the modern Theravada school derives from a branch of Buddhism that separated and established itself in Sri Lanka before the emergence of Mahayana texts, debate exists as to whether Theravada was historically included in the Hinayana designation. ;In the modern era, this label is seen as derogatory, and is generally avoided.",Which school does not include the Mahayava scriptures in its canon?,Theravada,9,18
"In an October 2004 case, Telewiza Polska USA, Inc. v. EchoStar Satellite, No. 02 C 3293, 65 Fed. R Avid. serve. 673 (N.D. Ill. October 15, 2004), a plaintiff attempted to use the Wayback Machine archives as a source of admissible evidence, perhaps for the first time. Telewizza Polska is the provider of TVP Polonia and EchoStar operates Dish Network. Ahead of the trial proceedings, EchoStar indicated that it intended to introduce Wayback Machine snapshots of Telewizja Polska's web site as evidence of past content. Telewiza Polska brought a motion to suppress the snapshot based on hearsay and an unproven source, but Magistrate Judge Arlander Keys rejected Telewiza Polska's claim for a hearing and limited TVP's motion to exclude evidence at trial. Gave. At trial, however, District Court Judge Ronald Guzman, the trial judge, rejected Magistrate Keyes' findings, [citation needed] and held that neither the Internet Archive employee's affidavit nor the underlying page (i.e., Telewizja Polska Website). Admissible as evidence. Judge Guzman argued that the employee's affidavit contained both hearsay and inconclusive statements, and the alleged web page printouts were not self-evident. [citation needed]",What is Ecoster's platform?,dish network,222,234
"IndiMac loans are often made without verification of the borrower's income or assets, and to borrowers with poor credit histories. The valuations received by IndyMac on the underlying collateral were often questionable. As an alt-a lender, IndyMac's business model was to offer loan products to meet borrower needs, ranging from risky option-adjusted-rate mortgages (option arms), subprime loans, 80/20 loans, And using a wide range of other nontrade products. Eventually, the loans were given to many borrowers who simply could not afford to make their payments. The thrift remained profitable only insofar as it was able to sell those loans in the secondary mortgage market. IndiMac resisted efforts to control its participation in those loans or tighten its issuance criteria: see comments by Chief Risk Officer Ruthann Melbourne to regulatory agencies.",What was questionable on IndyMac's underlying collateral?,Evaluation,135,145
"In Theravada Buddhism there can be no divine salvation or forgiveness for one's karma, as this is a completely illegitimate process that is part of the makeup of the universe. [citation needed] In Mahayana Buddhism, some Mahayana sutra texts (such as the Lotus Sutra, the Igulimalisha Sutra and the Mahina Mahapirinirvana Sutra) claim that recitation or merely hearing of their texts can eliminate great swathes of negative karma. Some forms of Buddhism (for example, Vajrayana) view the recitation of mantras as a means of cutting past negative karma. The Japanese Pure Land teacher Genshin taught that Amitabha has the power to destroy the karma that would otherwise bind one in Saseshara.",Is the study of mantras as a means to remove past negative karma part of which branch of Buddhism?,Vajrayana,468,477
"The securitization markets supported by the shadow banking system closed in the spring of 2007 and nearly closed in the fall of 2008. More than a third of the private credit markets became unavailable as a source of funding. According to the Brookings Institution, the traditional banking system does not have the capital to close this gap as of June 2009: ""It will take several years of strong profits to generate enough capital to support additional lending volumes."" The authors also point out That some forms of securitization"" are likely to disappear forever are an artifact of excessively loose credit conditions.",What did the firm say that the traditional banking system did not have the capital to close the gap by June 2009?,brookings institution,242,263
"There were 13 finalists this season, but two were eliminated in the results show before the finals. A new feature introduced was the ""Judges' Save"", and Matt Giraud was saved from elimination in the top seven by the judges when he received the fewest votes. The following week, Lil Round and Anoop Desai were eliminated.",How many finalists were eliminated during the first results?,Two,41,44
"In a Peabody Award-winning program, NPR correspondents argued that a ""huge pool of money"" (representing $70 trillion in fixed income investments worldwide) demanded higher yields than those offered by the U.S. Treasury bonds at the beginning of the decade. This pool of money roughly doubled in size from 2000 to 2007, yet the supply of relatively safe, income-producing investments had not grown as rapidly. Investment banks on Wall Street responded to this demand with products such as mortgage-backed securities and collateralized debt obligations that were assigned safe ratings by credit rating agencies.",How does the pool of money invested worldwide in fixed income investments increase in size from 2000 to 2007?,roughly doubled in size,276,299
"At Princeton, physicist Robert R. Wilson encouraged Feynman to participate in the Manhattan Project—Wartime U. Army project at Los Alamos that developed the atomic bomb. Feynman said he was persuaded to join the effort in order to create it before Nazi Germany developed its own bomb. He was assigned to Hans Bethe's theoretical division and impressed Bethe enough to make him a group leader. He and Bethe developed the Bethe–Feynman formula for calculating the yield of a fission bomb, building on previous work by Robert Barebar.",What did Feynman produce with the help of Bethe?,Bethe-Feynman formula,52,73
"As a result of the change in its status and the arrival of the Portuguese royal family, the Brazilian administrative, civil, economic, military, educational, and scientific apparatus was expanded and highly modernized. The Portuguese and their allied British troops fought against the French invasion of Portugal and by 1815 the situation in Europe had cooled sufficiently that João VI would be able to return safely to Lisbon. However, the King of Portugal remained in Brazil until the liberal revolution of 1820, which began in Porto, demanded his return to Lisbon in 1821.","What provoked the modernization and expansion of Brazil's administrative, civil, economic, military, educational, and scientific apparatus?",Change in status and arrival of the Portuguese royal family,63,122
"Buddhism /ˈbudɪzəm/ is a nontheistic religion [note 1] or philosophy (Sanskrit: धर्म धर्म धर्मा; Pali: धामम धम्मा) encompassing various traditions, beliefs, and spiritual practices based on teachings attributed to Gautama Buddha, known as Commonly known as Buddha (""Awakened One""). According to Buddhist tradition, the Buddha lived and taught in the eastern part of the Indian subcontinent, present-day Nepal, sometime between the 6th and 4th centuries. [note 1] He is recognized by Buddhists as an awakened or enlightened teacher who shared his insights to help sentient beings end suffering through the elimination of ignorance and craving. Buddhists believe that this is accomplished through direct understanding and dependent origination and the perception of the Four Noble Truths.",What must be done to end the teaching of wisdom?,ignorance and longing,157,178
"Jim Foster, a publicity manager with the National Football League, conceived of indoor soccer while watching an indoor soccer match at Madison Square Garden in 1981. In the game, he wrote his idea on a 9x12 envelope, along with sketches of the area and notes on the gameplay. He presented the idea to some friends in the NFL offices, where he received praise and encouragement for his concept. After solidifying rules and a business plan, and supplementing it with sketches by a professional artist, Foster presented his idea to various television networks. He reached a deal with NBC for ""Test Game"".",What was Jim Foster like when he came up with the idea of ​​arena football?,an indoor soccer match,80,102
"The penalty never scores for the offense. For example, a point-failing interception committed by the defense in their end zone is not ruled a touchdown, but instead advances the ball to the one-yard line with an automatic first down. For a passing penalty, if the yardage is more than half the distance to the goal line, the ball is advanced half the distance from the goal line, although only on the one-yard line (unlike American football, in Canadian football the number of scrimmages is either one -Can start inside the yard line). If the ball is advanced on first down as a result of the original penalty yardage, the ball behind the goal line is advanced.",Where is the ball placed when a defensive penalty is committed in your own end zone?,one-yard line,59,72
"From the beginning of the league through Arenabowl XVIII, the championship game was played at the home of the highest seeded remaining team. The AFL switched to a neutral site championship with ArenaBowls XIX and XX in Las Vegas. The New Orleans Arena, home of the New Orleans Voodoo, served as the site of ArenaBowl XXI on July 29, 2007. It was the first professional sports championship to be held in the city since Hurricane Katrina in August 2005. The San Jose Sabercats earned their third championship in six years by defeating the Columbus Destroyers 55–33. ArenaBowl XXI was a success in New Orleans, and the city was selected to host ArenaBowl XXII, in which the Philadelphia Spirit defeated the defending champion San Jose Sabers. In 2010, the place was decided by which of the two participating teams was seeded higher. In Arenabowl XXIII, the Spokane Shock defeated the Tampa Bay Storm at their home arena, Spokane Arena in Spokane, Washington. At ArenaBowl XXIV, the Jacksonville Sharks, coming off a win in their conference final game four nights earlier, traveled to the US Airways Center in Phoenix and defeated the Arizona Rattlers 73–70. Arenabowl XXV returned to a neutral site and was once again played in New Orleans, where the Rattlers returned and defeated the Philadelphia Spirit. Since 2014, the Arenabowl has been played between the team with the higher seed.",Where did Arenabowl XX take place?,Las Vegas,219,228
"The practice of each team playing one or two preseason exhibition games before the start of the regular season was discontinued when the NBC contract was introduced, and the regular season was extended from 14 games, the length from 1996 to 16 in 2001. From 2010 to 2016, and from 2016 onwards. From 2011 to 2015, the regular season league expanded to 18 games, with each team having a choice of two bye weeks and two preseason games.",What prompted a television network with a contract to discontinue exhibition games in the preseason?,nbc,137,140
"In Europe, and other regions using the ISO 216 paper size, weight is expressed in grams per square meter (g/m2 or usually just g). Printing paper is usually between 60gsm and 120gsm. Anything heavier than 160 grams is considered a card. The weight of a ream depends on the dimensions of the paper and its thickness.",What is it considered if the paper is over 160 grams?,card,231,235
"Under the Qing dynasty (1644–1911), the Nanjing area was known as Jiangning (江寧) and served as the seat of government for the Viceroy of Liangjiang. It was visited several times by the Kangxi and Qianlong emperors on their tours of the southern provinces. Nanjing was attacked by British troops during the close of the First Opium War, which was ended by the Treaty of Nanjing in 1842. As the rebels of the briefly lived Taiping Heavenly Kingdom (established by the Taiping rebels in the mid-19th century, Nanjing was known as Tianjing (天京, ""Heavenly Capital"" or ""Heavenly Capital"").",Did the emperor visit Nanjing more than once?,Kangxi and the Qianlong Emperor,185,216
"Music fans have changed. Organizations around the world to prevent and block the West's involvement in various incidents. The largest unsuccessful petition has been for Glastonbury Festival 2015 with 133,000+ voters stating that they would prefer for a rock band to headline. On July 20, 2015, the change came within five days of West's announcement as the title of the closing ceremonies of the 2015 Pan American Games. ORG user XYZ collected over 50,000 signatures calling for West's removal because the headliner should be Canadian, citing the headliner. At his Pan American Games closing ceremony performance, near the end of his performance, West closed the show by throwing his faulty microphone in the air and walked off the stage.",How many signatures were collected for Kanye's expulsion from the 2015 Pan American Games?,"50,000",449,455
"To put it another way, a thing or person is often seen as having a ""defined essence"" or ""core identity"" that is immutable, and describes what the thing or person really is. In this way of thinking, things and people are seen as fundamentally identical over time, with any changes being qualitative and secondary to their core identity (e. ""Mark's hair has turned gray because he He's grown older, but he's still the same person""). But in Whitehead's cosmology, the only fundamentally existing things are separate ""occasions of experience"" that overlap each other in time and space, and jointly make up an enduring person or thing. On the other hand, common thinking often treats ""the essence of something"" or ""a person's identity/core"" as the most important or salient characteristics of that person or thing at a given time. One of its essence is generalization. Identities don't define people, people define identities. Everything changes from moment to moment, and to think of anything as having a ""permanent essence"" misses the fact that ""all things flow"", although this is often a useful way of speaking.","In Whitehead's view, identities do not define people, but what?",people define identity,94,116
"Myers continued and continued reading the script. Once it was West's turn to speak again, he said, ""George Bush doesn't care about black people."" At this point, telethon producer Rick Kaplan cut off the microphone and then cut off Chris Tucker. , who was unaware of the cut for a few seconds. Nevertheless, West's remarks reached the United States.",What happened after Kanye made his controversial statement?,Rick Kaplan cuts off the microphone and then cuts off Chris Tucker,203,269
"In October 2014, Beyoncé signed a deal with British fashion retailer Topshop to launch an activewear line of clothing. The 50-50 venture is called Parkwood Topshop Athletic Ltd and is set to launch its first dance, fitness and sports range in autumn 2015. The line will launch in April 2016.",When will the full line appear?,April 2016,280,290
"The position of Prime Minister can be encountered in both constitutional monarchies (such as Belgium, Denmark, Japan, Luxembourg, the Netherlands, Norway, Malaysia, Morocco, Spain, Sweden, Thailand, Canada, Australia, New Zealand, and the United Kingdom), and In parliamentary republics in which the head of state is an elected official (e.g. Finland, Czech Republic, France, Greece, Hungary, India, Indonesia, Ireland, Pakistan, Portugal, Montenegro, Croatia, Bulgaria, Romania, Serbia and Turkey), the ""First Minister"" is elected. Alternative titles are usually equivalent to or translate as ""Prime Minister"": see ""Premier"", ""Chief Minister"", ""Chancellor"", ""Taoiseach"", ""statistics"" and ""Secretary of State"".","What type of government do Greece, Finland, Romania, and Türkiye use?",parliamentary republic,263,285
"Teen Sanjay Malkar was the most talked about character of the season for his unusual hairdo, and for managing to avoid elimination by several weeks thanks to the weblog vote for worst and satellite radio personality Howard Stern, who both had fans vote for him. Encouraged to give. However, on 18 April, Sanjay was voted out.",Did the celebrity ask his fans to vote for Sanjay Malkar on American Idol?,howard stern,216,228
"During this early period, it was more common that neither major party group (Federalists and Democratic-Republicans) had official leaders. For example, one scholar states that a federal minority of 36 members required a committee of 13 ""to coordinate the actions of men who were already together for the same cause."" There were partisans."" In 1828, a foreign observer of the House offered this perspective on the absence of formal party leadership on Capitol Hill:",Who represented the party leadership in the early days?,It was more common that neither major party group (Federalists and Democratic-Republicans) had official leaders.,93,205
"Whitehead's most complete work on education is 1929's The Aim of Education and Other Essays, which collected numerous essays and addresses by Whitehead on the subject published between 1912 and 1927. The essay from which The Purpose of Education takes its name was given in 1916 when Whitehead was president of the London branch of the Mathematical Association. In it, he warned against teaching what he called ""idle ideas"" – ideas that are disconnected scraps of information with no application to real life or culture. He said that ""Education with idle ideas is not only useless: it is, above all things, harmful.",What did Whitehead teach against teaching?,idle thoughts,411,424
"Beyoncé Giselle Knowles-Carter (/biːjɒnseɪ/ BEE-yon-say) (born September 4, 1981) is an American singer, songwriter, record producer, and actress. Born and raised in Houston, Texas, she performed in various singing and dancing competitions as a child, and rose to fame in the late 1990s as the lead singer of the R&B girl-group Destiny's Child. Rose. Managed by their father, Matthew Knowles, the group became one of the world's best-selling girl groups. Their hiatus led to the release of Beyoncé's debut album, Dangerously in Love (2003), which established her as a solo artist worldwide, earning five Grammy Awards and spawning the Billboard Hot 100 number-one single ""Crazy In Love"" and ""Baby Boy"".",What city and state did Beyonce grow up in?,"Houston, Texas",166,180
"Following the Holocaust, which was carried out by Nazi Germany and its allies before and before World War II, Lemkin successfully campaigned for universal acceptance of international laws forbidding genocide. In 1946, the first session of the United Nations General Assembly adopted a resolution that ""reaffirmed"" that genocide was a crime under international law, but did not provide a legal definition of the crime. In 1948, the United Nations General Assembly adopted the Convention on the Prevention and Punishment of the Crime of Genocide (CPPCG) which defined the crime of genocide for the first time.","After World War II, whose bid was successful in establishing worldwide acceptance and the nascent legal definition of NASCAR?",lemkin,110,116
"In March 2005, the Security Council formally referred the situation in Darfur to the Prosecutor of the International Criminal Court, taking note of the Commission's report but without mentioning any specific crimes. The two permanent members of the Security Council, the United States and China, abstained from the vote on the referral resolution. According to his fourth report to the Security Council, the Prosecutor must have ""reasonable grounds to believe that persons in accordance with [United Nations Security Council resolution 1593] have committed crimes against humanity and war crimes,"" but not to prosecute. Not enough evidence found for genocide.","Were taken into account, without mentioning specific crimes?",commission report,165,182
"Chopin arrived in Paris in late September 1831; he would never return to Poland, thus becoming one of the many emigrants of the Polish Great Migration. In France he used French versions of his given names, and after obtaining French citizenship in 1835, he traveled on a French passport. However, Chopin remained in exile close to his fellow Poles as friends and confidants and he never felt completely comfortable speaking French. Chopin's biographer Adam Zamoyski writes that he did not consider himself French, despite his father's French origins, and always saw himself as a Pole.",Poland Chopin did not go back and became part of what?,Polish Great Migration,128,150
"The remaining band members recorded ""Independent Women Part I"", which appeared on the soundtrack of the 2000 film, Charlie's Angels. It became their best-selling single, topping U. Billboard Hot 100 chart for consecutive weeks. In early 2001, as Destiny's Child was completing her third album, Beyoncé played a leading role in the MTV made-for-television film, Carmen: A Hip Hopper, starring alongside American actor Mekhi Fifer. Set in Philadelphia, the film is a modern interpretation of the 19th century opera Carmen by French composer Georges Bizet. When the third album Survivor was released in May 2001, Luckett and Roberson claimed that the songs were aimed at them. The album debuted at number one on the UK Singles Chart. Billboard 200, with first week sales of 663,000 copies sold. The album spawned other number-one hits, ""Bootious"" and the title track, ""Survivor"", the latter of which earned the group a Grammy Award for Best R&B Performance by a Duo or Group with Vocals. After releasing their holiday album 8 Days of Christmas in October 2001, the group announced a hiatus to pursue solo careers.","""Charlie's Angels"" featured a single from the band members?",Independent Women Part I,36,60
"Fryderyk's father, Nicolas Chopin, was a Frenchman from Lorraine who immigrated to Poland in 1787 at the age of sixteen. Nicholas tutored the children of the Polish aristocracy, and in 1806 married Justyna Krzynowska, a poor relative of the Skarbeks, one of the families for whom he worked. Fryderyk was baptized on Easter Sunday, 23 April 1810, in the same church where his parents were married in Brochow. His eighteen-year-old godfather, for whom he was named, was Frydek Skarbek, a student of Nicolas Chopin. Fryderyk was the couple's second child and only son; he had an older sister, Ludwika (1807–55), and two younger sisters, Isabella (1811–81) and Emilia (1812–27). Nicholas was devoted to his adopted homeland, and insisted on the use of the Polish language at home.","What language did Frederick's father, Nicholas, use at home?",Polish,158,164
"The New Yorker music critic Jody Rosen described Beyoncé as ""the most important and fascinating musician of the twenty-first century"". The result, the logical end point of a century plus. When The Guardian named its artist of the decade, Llewyn-Smith wrote, ""Why Beyoncé."" ] Because she not only had one of the decade's greatest singles, but also Love and Single Women (put a ring on it), not to mention her hit with Destiny's Child; and this was the decade when singles – especially R&B singles – regained their position as pop's preferred medium. ] [He] and none other than the superannuated rock star were arguably the greatest live performers of the last 10 years. ""In 2013, Beyoncé made the Time 100 list, Baz Luhrmann writes ""No one has the voice, no one walks the way she does, no one holds an audience the way she does."" Can't. When Beyoncé does an album, when Beyoncé sings a song, when Beyoncé does anything, it's an event, and it's massively influential. Right now, she is the heir-apparent diva of the United States – the politics national voice. ""In 2014, Beyoncé was again listed on the Time 100 and was also featured on the cover of the issue.",When was she on the 100 list and cover again?,2014,1063,1067
"On September 11, 2008, West and his road manager/bodyguard Don ""Don C."" Crowley were arrested at Los Angeles International Airport and booked on felony vandalism charges after an altercation with paparazzi in which West and Crowley had broken the photographer's camera. West was later released from the Los Angeles Police Department's Pacific Division station in Culver City on a $20,000 bail bond. On September 26, 2008, the Los Angeles County District Attorney's Office said it would not pursue felony charges against West over the incident. Instead the case file was forwarded to the city attorney's office, which charged West with one count of misdemeanor vandalism, one count of grand theft and one count of battery and three counts each on March 18, 2009. . West and Crowley's Arjun was delayed from the original date of April 14, 2009.",How much was Kayye's bail bond?,"$20,000",380,387
"However, in some states the term of office of the Prime Minister is linked to the term of office of the Parliament. The Irish Taoiseach is therefore formally 'renominated' after every general election. (Some constitutional experts have questioned whether this process is actually in keeping with the provisions of the Irish Constitution, which suggest that a Taoiseach should remain in office, without the need for renomination, until He or she must not have clearly lost the general election.) The post of Prime Minister is usually chosen from the political party that holds the majority of seats in the lower house of parliament.",When is the Irish Taoiseach nominated?,after every general election,172,200
"The Chapter House has an original 13th-century tile pavement. A door within the vestibule dates from around 1050 and is believed to be the oldest in England. [citation needed] The exterior includes 14th-century flying buttresses and a lead tent-lantern roof on an iron frame designed by Scott. The Chapter House was originally used by Benedictine monks for daily meetings in the 13th century. Later it became a meeting place of the King's Great Council and the Commons, the predecessors of Parliament.",Is there a return date for a door in the vestibule?,1050,108,112
"After a peak in growth in 1979, the Liberian economy declined steadily due to economic mismanagement following the 1980 coup. This decline was accelerated by the outbreak of the civil war in 1989; GDP was reduced by an estimated 90% between 1989 and 1995, one of the sharpest declines in history. At the end of the war in 2003, GDP growth began to reach 9,. 4% in 2007. The global financial crisis slowed GDP growth 4. 6% in 2009, although growth was driven by a strong agricultural sector led by rubber and timber exports. 1% in 2010 and an expected 7. 3% in 2011, making the economy one of the 20 fastest growing in the world.",Why did Liberia's GDP growth stall in 2007?,global financial crisis,374,397
"In France, in his native Poland, where he composed most of his works, and thereafter, Chopin's music, his status as one of music's earliest superstars, his association (if only indirectly) with political rebellion, His love life and his early death have made him, in the public consciousness, a major symbol of the Romantic era. His works remain popular, and he has been the subject of numerous films and biographies of varying degrees of historical accuracy.",Chopin is a native of which country?,poland,25,31
"According to Der Spiegel, the credits given to European governments were disguised as ""swaps"" and consequently not registered as debt because Eurostat ignored data related to financial derivatives at the time. A German derivatives dealer commented to Der Spiegel that ""Maastricht rules can be circumvented quite legally through swaps,"" and ""In previous years, Italy financed its true debt with the help of a different US bank. Used a similar ploy to mask EU and monetary union guidelines' deficit targets, these conditions had enabled Greek as well as many other European governments to spend beyond their means. In May 2010, the Greek government deficit was again revised to 13.6% which was the second highest in the world, with Iceland ranking first at 7%. Britain third. Public debt was estimated, according to some estimates, to hit 120% of GDP during 2010.",What rules say the German derivatives dealer can legally make rest through swaps?,Maastricht,268,278
"The Chapter House and Pyx Chamber at Westminster Abbey are in the guardianship of English Heritage, but under the care and management of the Dean and Chapter of Westminster. English Heritage has funded a major program of work on the chapter house, including repairs to the roof, gutters, stonework and flying buttresses as well as the replacement of lead lights.",What funding has English Heritage provided for the Chapter House?,Repairs,258,265
"In Buddhism, karma (from Sanskrit: ""action, work"") is the force that drives governance—the cycle of suffering and rebirth for each individual. Good, skillful karma (Pali: ""kusala"") and bad, unskillful (Pali: ""akula"") actions produce ""seeds"" in the mind that come to fruition either in this life or in subsequent rebirths. Avoidance of unwanted actions and cultivation of positive actions is called sila. Karma specifically refers to those actions of body, speech or mind that spring from mental intention (cetanya), and bring about a result or phala ""fruit"" or vipla ""result"".",What is the avoidance of unwanted actions and the use of positive actions called?,stitched,54,62
"The AFL also had a regional-cable deal with FSN, where FSN regional affiliates in AFL markets carried the local team's games. In some areas, such as the Arizona Rattlers, Fox Sports affiliates still carry the game.",Did the cable network sign a regional contract with the AFL?,fsn,44,47
"Beyoncé has worked with Pepsi since 2002, and in 2004 appeared in a gladiator-themed commercial with Britney Spears, Pink, and Enrique Iglesias. In 2012, Beyoncé signed a $50 million deal to endorse Pepsi. The Center for Science in the Public Interest (CSPnet) wrote an open letter to Beyoncé asking her to reconsider the deal due to the unhealthiness of the product and donate the proceeds to a medical organization. Nevertheless, Netbase found that Beyoncé's campaign was the most talked about endorsement in April 2013, with 70 percent positive audience reaction to the commercial and print ads.",What soft drink company has worked with Beyoncé since 2002?,pepsi,24,29
"Dogs take about 58 to 68 days after fertilization with an average of 63 days, although the length of gestation can vary. An average litter contains about six puppies, although this number can vary widely depending on the breed of dog. Typically, toy dogs produce one to four puppies in each litter, while much larger breeds may average as many as twelve.","For small dogs, what is the average number of puppies in a litter?",one to four,19,30
"At the age of eight, Beyoncé and childhood friend Kelly Rowland met Latvia Roberson while at an audition for an all-girl entertainment group. She was put in a group with three other girls, and crashed and danced on the talent show circuit in Houston. After seeing the group, R&B producer Arne Frager brought them to his Northern California studio and put them on Star Search, the biggest talent show on national TV at the time. Girl's Tom failed to win, and Beyoncé later said that the song she performed was not good. In 1995, Beyoncé's father resigned from his job to manage the group. The move cut Beyoncé's family income in half, and her parents were forced to move into separate apartments. Matthews cut the original line-up down to four and the group performed as an opening act for other established R&B girl groups. The girls auditioned before record labels and eventually signed to Elektra Records, briefly working at Atlanta Records on their first recording, only to be cut by the company. This placed further stress on the family, and Beyoncé's parents separated. On October 5, 1995, Dwayne Wiggins' Grass Roots Entertainment signed the group. In 1996, the girls began recording their first album under a deal with Sony Music, the Knowles family reunited and shortly after, the group got a contract with Columbia Records.",How old was Beyoncé when she met Latvia Roberson?,Eight,14,19
"The second truth is that the origin of dukha can be known. In the context of the Four Noble Truths, the origin of dukkha is usually explained as craving (Pali: tanha) conditioned by ignorance (Pali: avijaja). At a deeper level, the root cause of dukkha has been identified as ignorance of the true nature of things (Pali: avijaja). The Third Noble Truth is that complete cessation of Duktha is possible, and the Fourth Noble Truth identifies the path to this cessation. [Note 7].",What does the second of the four noble truths tell us?,The origin of dukha can be known,29,61
